leitura,segundo,minuto,intensidadeMinuto
0,73,2,True
0,74,2,True
0,74,2,True
0,74,2,True
0,75,2,True
0,75,2,True
0,75,2,True
0,76,2,True
0,76,2,True
0,76,2,True
0,77,2,True
0,77,2,True
0,77,2,True
0,78,2,True
0,78,2,True
0,78,2,True
1,79,2,True
0,79,2,True
0,79,2,True
0,80,2,True
0,80,2,True
0,80,2,True
0,81,2,True
1,81,2,True
0,81,2,True
1,82,2,True
1,82,2,True
1,82,2,True
1,83,2,True
1,83,2,True
1,83,2,True
1,84,2,True
1,84,2,True
1,84,2,True
1,85,2,True
1,85,2,True
1,85,2,True
1,86,2,True
1,86,2,True
1,86,2,True
1,87,2,True
1,87,2,True
1,87,2,True
1,88,2,True
1,88,2,True
1,88,2,True
1,89,2,True
1,89,2,True
1,89,2,True
1,90,2,True
1,90,2,True
1,90,2,True
1,91,2,True
1,91,2,True
1,91,2,True
1,92,2,True
1,92,2,True
1,92,2,True
1,93,2,True
1,93,2,True
1,93,2,True
1,94,2,True
0,94,2,True
0,94,2,True
0,95,2,True
1,95,2,True
0,95,2,True
0,96,2,True
0,96,2,True
0,96,2,True
1,97,2,True
1,97,2,True
1,97,2,True
1,98,2,True
0,98,2,True
1,98,2,True
1,99,2,True
1,99,2,True
1,99,2,True
1,100,2,True
1,100,2,True
1,100,2,True
0,101,2,True
0,101,2,True
1,101,2,True
1,102,2,True
1,102,2,True
0,102,2,True
0,103,2,True
0,103,2,True
0,103,2,True
0,104,2,True
0,104,2,True
0,104,2,True
0,105,2,True
0,105,2,True
0,105,2,True
0,106,2,True
0,106,2,True
0,106,2,True
0,107,2,True
0,107,2,True
0,107,2,True
0,108,2,True
0,108,2,True
0,108,2,True
0,109,2,True
0,109,2,True
0,109,2,True
0,110,2,True
0,110,2,True
0,110,2,True
1,111,2,True
0,111,2,True
1,111,2,True
1,112,2,True
1,112,2,True
1,112,2,True
1,113,2,True
1,113,2,True
1,113,2,True
1,114,2,True
1,114,2,True
0,114,2,True
0,115,2,True
0,115,2,True
0,115,2,True
0,116,2,True
0,116,2,True
0,116,2,True
0,117,2,True
0,117,2,True
0,117,2,True
0,118,2,True
0,118,2,True
0,118,2,True
0,119,2,True
0,119,2,True
0,119,2,True
0,120,2,True
0,120,2,True
0,120,2,True
0,121,3,False
0,121,3,False
1,121,3,False
0,122,3,False
1,122,3,False
1,122,3,False
0,123,3,False
0,123,3,False
0,123,3,False
0,124,3,False
0,124,3,False
0,124,3,False
0,125,3,False
0,125,3,False
0,125,3,False
0,126,3,False
0,126,3,False
0,126,3,False
0,127,3,False
0,127,3,False
0,127,3,False
0,128,3,False
0,128,3,False
0,128,3,False
0,129,3,False
0,129,3,False
0,129,3,False
0,130,3,False
0,130,3,False
0,130,3,False
0,131,3,False
1,131,3,False
0,131,3,False
0,132,3,False
0,132,3,False
0,132,3,False
1,133,3,False
1,133,3,False
0,133,3,False
1,134,3,False
1,134,3,False
0,134,3,False
0,135,3,False
1,135,3,False
1,135,3,False
1,136,3,False
1,136,3,False
1,136,3,False
1,137,3,False
1,137,3,False
1,137,3,False
1,138,3,False
0,138,3,False
0,138,3,False
0,139,3,False
0,139,3,False
0,139,3,False
0,140,3,False
0,140,3,False
0,140,3,False
0,141,3,False
0,141,3,False
0,141,3,False
0,142,3,False
0,142,3,False
1,142,3,False
0,143,3,False
0,143,3,False
0,143,3,False
0,144,3,False
1,144,3,False
0,144,3,False
0,145,3,False
0,145,3,False
0,145,3,False
0,146,3,False
1,146,3,False
1,146,3,False
0,147,3,False
0,147,3,False
0,147,3,False
1,148,3,False
0,148,3,False
1,148,3,False
0,149,3,False
0,149,3,False
0,149,3,False
1,150,3,False
0,150,3,False
0,150,3,False
1,151,3,False
0,151,3,False
0,151,3,False
1,152,3,False
0,152,3,False
0,152,3,False
0,153,3,False
0,153,3,False
0,153,3,False
0,154,3,False
0,154,3,False
0,154,3,False
0,155,3,False
1,155,3,False
0,155,3,False
0,156,3,False
0,156,3,False
0,156,3,False
0,157,3,False
0,157,3,False
0,157,3,False
1,158,3,False
0,158,3,False
0,158,3,False
1,159,3,False
0,159,3,False
0,159,3,False
0,160,3,False
0,160,3,False
0,160,3,False
0,161,3,False
1,161,3,False
1,161,3,False
1,162,3,False
0,162,3,False
0,162,3,False
0,163,3,False
0,163,3,False
0,163,3,False
1,164,3,False
0,164,3,False
0,164,3,False
1,165,3,False
0,165,3,False
1,165,3,False
0,166,3,False
1,166,3,False
0,166,3,False
0,167,3,False
0,167,3,False
1,167,3,False
0,168,3,False
0,168,3,False
0,168,3,False
0,169,3,False
0,169,3,False
0,169,3,False
1,170,3,False
0,170,3,False
0,170,3,False
0,171,3,False
0,171,3,False
0,171,3,False
0,172,3,False
0,172,3,False
0,172,3,False
0,173,3,False
0,173,3,False
0,173,3,False
0,174,3,False
0,174,3,False
0,174,3,False
0,175,3,False
0,175,3,False
0,175,3,False
0,176,3,False
0,176,3,False
0,176,3,False
1,177,3,False
0,177,3,False
0,177,3,False
0,178,3,False
0,178,3,False
0,178,3,False
0,179,3,False
0,179,3,False
0,179,3,False
0,180,3,False
1,180,3,False
0,180,3,False
0,181,4,False
0,181,4,False
0,181,4,False
0,182,4,False
0,182,4,False
0,182,4,False
0,183,4,False
0,183,4,False
0,183,4,False
0,184,4,False
0,184,4,False
0,184,4,False
1,185,4,False
0,185,4,False
0,185,4,False
1,186,4,False
0,186,4,False
1,186,4,False
0,187,4,False
0,187,4,False
0,187,4,False
0,188,4,False
0,188,4,False
0,188,4,False
0,189,4,False
0,189,4,False
0,189,4,False
0,190,4,False
0,190,4,False
0,190,4,False
0,191,4,False
0,191,4,False
0,191,4,False
0,192,4,False
0,192,4,False
0,192,4,False
0,193,4,False
0,193,4,False
0,193,4,False
0,194,4,False
0,194,4,False
1,194,4,False
0,195,4,False
0,195,4,False
0,195,4,False
0,196,4,False
0,196,4,False
0,196,4,False
0,197,4,False
1,197,4,False
0,197,4,False
1,198,4,False
0,198,4,False
0,198,4,False
0,199,4,False
0,199,4,False
0,199,4,False
0,200,4,False
0,200,4,False
1,200,4,False
0,201,4,False
1,201,4,False
0,201,4,False
0,202,4,False
1,202,4,False
1,202,4,False
0,203,4,False
0,203,4,False
1,203,4,False
1,204,4,False
1,204,4,False
0,204,4,False
1,205,4,False
0,205,4,False
1,205,4,False
1,206,4,False
0,206,4,False
0,206,4,False
1,207,4,False
0,207,4,False
0,207,4,False
0,208,4,False
0,208,4,False
0,208,4,False
1,209,4,False
0,209,4,False
0,209,4,False
0,210,4,False
0,210,4,False
1,210,4,False
1,211,4,False
0,211,4,False
0,211,4,False
0,212,4,False
1,212,4,False
1,212,4,False
1,213,4,False
0,213,4,False
0,213,4,False
0,214,4,False
0,214,4,False
0,214,4,False
0,215,4,False
0,215,4,False
0,215,4,False
0,216,4,False
1,216,4,False
0,216,4,False
0,217,4,False
0,217,4,False
0,217,4,False
1,218,4,False
0,218,4,False
0,218,4,False
1,219,4,False
1,219,4,False
0,219,4,False
0,220,4,False
0,220,4,False
1,220,4,False
0,221,4,False
1,221,4,False
0,221,4,False
0,222,4,False
0,222,4,False
1,222,4,False
0,223,4,False
0,223,4,False
1,223,4,False
1,224,4,False
1,224,4,False
0,224,4,False
1,225,4,False
1,225,4,False
1,225,4,False
0,226,4,False
0,226,4,False
0,226,4,False
0,227,4,False
0,227,4,False
0,227,4,False
0,228,4,False
0,228,4,False
1,228,4,False
0,229,4,False
0,229,4,False
0,229,4,False
1,230,4,False
0,230,4,False
0,230,4,False
0,231,4,False
0,231,4,False
0,231,4,False
0,232,4,False
0,232,4,False
1,232,4,False
0,233,4,False
0,233,4,False
0,233,4,False
0,234,4,False
1,234,4,False
1,234,4,False
1,235,4,False
0,235,4,False
0,235,4,False
0,236,4,False
0,236,4,False
0,236,4,False
0,237,4,False
0,237,4,False
0,237,4,False
