Id,leitura,segundo,minuto,intensidadeMinuto,local,combustivel
110,1,37,1,False,Banco do Motorista,Gasolina
111,1,38,1,False,Banco do Motorista,Gasolina
112,0,38,1,False,Banco do Motorista,Gasolina
113,0,38,1,False,Banco do Motorista,Gasolina
114,1,39,1,False,Banco do Motorista,Gasolina
115,0,39,1,False,Banco do Motorista,Gasolina
116,0,39,1,False,Banco do Motorista,Gasolina
117,0,40,1,False,Banco do Motorista,Gasolina
118,0,40,1,False,Banco do Motorista,Gasolina
119,0,40,1,False,Banco do Motorista,Gasolina
120,1,41,1,False,Banco do Motorista,Gasolina
121,0,41,1,False,Banco do Motorista,Gasolina
122,1,41,1,False,Banco do Motorista,Gasolina
123,0,42,1,False,Banco do Motorista,Gasolina
124,0,42,1,False,Banco do Motorista,Gasolina
125,1,42,1,False,Banco do Motorista,Gasolina
126,0,43,1,False,Banco do Motorista,Gasolina
127,0,43,1,False,Banco do Motorista,Gasolina
128,0,43,1,False,Banco do Motorista,Gasolina
129,1,44,1,False,Banco do Motorista,Gasolina
130,0,44,1,False,Banco do Motorista,Gasolina
131,0,44,1,False,Banco do Motorista,Gasolina
132,0,45,1,False,Banco do Motorista,Gasolina
133,0,45,1,False,Banco do Motorista,Gasolina
134,1,45,1,False,Banco do Motorista,Gasolina
135,0,46,1,False,Banco do Motorista,Gasolina
136,0,46,1,False,Banco do Motorista,Gasolina
137,1,46,1,False,Banco do Motorista,Gasolina
138,1,47,1,False,Banco do Motorista,Gasolina
139,1,47,1,False,Banco do Motorista,Gasolina
140,0,47,1,False,Banco do Motorista,Gasolina
141,1,48,1,False,Banco do Motorista,Gasolina
142,0,48,1,False,Banco do Motorista,Gasolina
143,0,48,1,False,Banco do Motorista,Gasolina
144,0,49,1,False,Banco do Motorista,Gasolina
145,0,49,1,False,Banco do Motorista,Gasolina
146,0,49,1,False,Banco do Motorista,Gasolina
147,0,50,1,False,Banco do Motorista,Gasolina
148,1,50,1,False,Banco do Motorista,Gasolina
149,0,50,1,False,Banco do Motorista,Gasolina
150,0,51,1,False,Banco do Motorista,Gasolina
151,1,51,1,False,Banco do Motorista,Gasolina
152,1,51,1,False,Banco do Motorista,Gasolina
153,1,52,1,False,Banco do Motorista,Gasolina
154,1,52,1,False,Banco do Motorista,Gasolina
155,1,52,1,False,Banco do Motorista,Gasolina
156,1,53,1,False,Banco do Motorista,Gasolina
157,0,53,1,False,Banco do Motorista,Gasolina
158,0,53,1,False,Banco do Motorista,Gasolina
159,1,54,1,False,Banco do Motorista,Gasolina
160,0,54,1,False,Banco do Motorista,Gasolina
161,0,54,1,False,Banco do Motorista,Gasolina
162,1,55,1,False,Banco do Motorista,Gasolina
163,1,55,1,False,Banco do Motorista,Gasolina
164,1,55,1,False,Banco do Motorista,Gasolina
165,1,56,1,False,Banco do Motorista,Gasolina
166,1,56,1,False,Banco do Motorista,Gasolina
167,1,56,1,False,Banco do Motorista,Gasolina
168,0,57,1,False,Banco do Motorista,Gasolina
169,1,57,1,False,Banco do Motorista,Gasolina
170,1,57,1,False,Banco do Motorista,Gasolina
171,1,58,1,False,Banco do Motorista,Gasolina
172,1,58,1,False,Banco do Motorista,Gasolina
173,1,58,1,False,Banco do Motorista,Gasolina
174,0,59,1,False,Banco do Motorista,Gasolina
175,0,59,1,False,Banco do Motorista,Gasolina
176,1,59,1,False,Banco do Motorista,Gasolina
177,1,60,1,False,Banco do Motorista,Gasolina
178,0,60,1,False,Banco do Motorista,Gasolina
179,0,60,1,False,Banco do Motorista,Gasolina
180,0,61,2,False,Banco do Motorista,Gasolina
181,0,61,2,False,Banco do Motorista,Gasolina
182,1,61,2,False,Banco do Motorista,Gasolina
183,1,62,2,False,Banco do Motorista,Gasolina
184,1,62,2,False,Banco do Motorista,Gasolina
185,0,62,2,False,Banco do Motorista,Gasolina
186,1,63,2,False,Banco do Motorista,Gasolina
187,1,63,2,False,Banco do Motorista,Gasolina
188,1,63,2,False,Banco do Motorista,Gasolina
